,case_number,occured_on,neighborhood,hour of day,year,month,motivation,latitude,longitude
0,22000602,2022-01-05 10:30:00,Clairemont Mesa East,10,2021,12,Religion,32.819933637481,-117.1803064752316
1,22012649,2022-03-23 13:40:00,Miramar Ranch North,13,2022,3,Race,32.93742757512188,-117.1017508964802
2,22033761,2022-08-05 16:34:04,Ocean Crest,16,2022,8,Race,32.57040716009589,-117.03795359892476
3,21024446,2021-05-24 11:30:11,Carmel Valley,11,2021,5,Religion,32.93778790682552,-117.23328073080268
4,20043980,2020-09-03 07:30:45,Point Loma Heights,7,2020,9,Sexual Orientation,32.74987080090292,-117.23308827098892
5,23006405,2023-02-12 15:00:19,Rancho Penasquitos,15,2023,2,Race,32.95837066758091,-117.1273170808138
6,20019662,2020-04-02 00:01:00,Carmel Mountain,0,2020,4,Race,32.98046668650915,-117.07816883104104
7,22021697,2022-05-17 16:00:00,Little Italy,16,2022,5,Gender,32.72305541559935,-117.16745472447668
8,23014224,2023-04-03 14:00:00,Core-Columbia,14,2023,4,Race,32.71680884558362,-117.16284476993587
9,21021221,2021-05-06 08:26:00,East Village,8,2021,5,Sexual Orientation,32.7083666219861,-117.14854422564969
10,21043319,2021-09-12 21:36:16,Barrio Logan,21,2021,9,Sexual Orientation,32.69783417409885,-117.14773598528556
11,22026448,2022-06-18 11:55:00,Hillcrest,11,2022,6,Race/Gender,32.7470134048488,-117.16049063592853
12,22018396,2022-04-17 08:00:00,Bay Park,8,2022,4,Religion/Sexual Orientation,32.78934822875493,-117.20356263444272
13,22033785,2022-08-05 19:47:00,Ocean Beach,19,2022,8,Race,32.746856362902115,-117.2510650615405
14,20050547,2020-10-10 17:55:00,University City,17,2020,10,Race,32.85152908764641,-117.2167189887761
15,20000486,2020-01-01 21:30:00,Lincoln Park,21,2020,1,Race,32.692269957571575,-117.08719092149964
16,21059048,2021-12-17 09:15:39,North Clairemont,9,2021,12,Race,32.834473265341444,-117.18146873554625
17,22035410,2022-08-15 21:00:13,Rancho Bernardo,21,2022,8,Race/Religion,32.9968008835734,-117.06775866586528
18,20051500,2020-10-17 16:30:00,Cortez,16,2020,10,Race,32.7209829723968,-117.16301127229904
19,21025374,2021-05-30 09:39:00,Mira Mesa,9,2021,5,Race,32.92433486413173,-117.11917526142716
20,23032383,2023-07-27 11:15:00,Kearney Mesa,11,2023,7,Religion,32.83249436850848,-117.12098506334186
21,20032272,2020-06-26 15:10:00,Pacific Beach,15,2020,6,Race,32.793489186283594,-117.255733266176
22,23001050,2023-01-08 02:03:00,North Park,2,2023,1,Race,32.75535945143794,-117.13379441537369
23,20052847,2020-10-24 19:45:23,East Village,19,2020,10,Race,32.71050765277812,-117.15380937208916
24,21024515,2021-05-23 07:00:31,Mission Beach,7,2021,5,Race/Religion,32.77274850103728,-117.24970740865945
25,20029821,2020-06-11 08:00:17,San Ysidro,8,2020,6,Race,32.566194465269504,-117.0425661718196
26,22043518,2022-10-07 07:50:00,Clairemont Mesa East,7,2022,10,Race,32.8308694978077,-117.17724181017776
27,21005554,2021-02-02 14:00:00,Hillcrest,14,2021,2,Sexual Orientation,32.74339799541789,-117.15958116476254
28,21036358,2021-08-02 23:38:00,Mission Beach,23,2021,8,Sexual Orientation,32.769170141717424,-117.2509671428856
29,21032267,2021-07-10 00:10:58,University City,0,2021,7,Sexual Orientation,32.86651351081285,-117.21529295656195
30,23035054,2023-08-14 04:45:51,Gaslamp,4,2023,8,Race,32.7156956287521,-117.16108089444351
31,21010123,2021-02-28 12:50:00,Pacific Beach,12,2021,2,Race,32.79795627182967,-117.25591235128886
32,22033785,2022-08-05 19:47:00,Ocean Beach,19,2022,8,Race,32.746856362902115,-117.2510650615405
33,23027621,2023-06-27 20:00:00,Torrey Highlands,20,2023,6,Religion,32.96324062631143,-117.15988717729388
34,21023843,2021-05-12 14:00:00,Serra Mesa,14,2021,5,Sexual Orientation,,
35,23001050,2023-01-08 02:03:00,North Park,2,2023,1,Race,32.7557121248256,-117.13351524063872
36,20038279,2020-08-02 14:32:48,Colina Del Sol,14,2020,8,Race,,
37,22039475,2022-09-11 17:28:57,Park West,17,2022,9,Race,32.72309873726373,-117.16198373437877
38,21025529,2021-05-31 07:55:00,Sherman Heights,7,2021,5,Race,32.71163164246903,-117.14239370961502
39,23011597,2023-03-19 03:00:00,Allied Gardens,3,2023,3,Religion,32.791346792270744,-117.08802331851184
40,22037389,2022-08-29 13:10:54,Linda Vista,13,2022,8,Race,32.791829486694404,-117.1692530036126
41,23036315,2023-08-22 14:45:00,Bay Ho,14,2023,8,Sexual Orientation,,
42,20052847,2020-10-24 19:45:23,East Village,19,2020,10,Race,32.71050765277812,-117.15380937208916
43,20020622,2020-04-13 15:09:00,Rancho Bernardo,15,2020,4,Race,33.02290340467238,-117.07713254744831
44,21004084,2021-01-23 21:38:00,Hillcrest,21,2021,1,Race,32.74963805973528,-117.1511796509364
45,22044696,2022-10-14 13:30:00,East Village,13,2022,10,Race/Gender,32.71158222638602,-117.15367755497648
46,23007734,2023-02-21 15:04:13,Hillcrest,15,2023,2,Sexual Orientation,32.7483170174158,-117.1615391154716
47,23018294,2023-04-30 12:45:00,Mission Bay Park,12,2023,4,Race,32.78837847349845,-117.20786712653717
48,20001478,2020-01-08 11:00:00,Rancho Penasquitos,11,2020,1,Religion,32.95784854209474,-117.121553311384
49,21014439,2021-03-26 09:34:00,Grantville,9,2021,3,Religion,32.78497631023173,-117.11046708253625
50,23026514,2023-06-15 21:00:00,Chollas Creek,21,2023,6,Race ,32.74729765090263,-117.08704115133612
51,21026113,2021-06-03 12:30:00,Stockton,12,2021,6,Race,32.712821016765794,-117.12534685502185
52,22029024,2022-07-05 20:46:56,Fairmount Village,20,2022,7,Race,32.74405119854647,-117.09887051141928
53,21614797,2021-09-02 00:00:19,Morena,0,2021,9,Religion,32.77038355954842,-117.18817046486949
54,22022917,2022-05-27 10:05:00,Ocean Beach,10,2022,5,Race,32.75255292303088,-117.24889287351787
55,20028824,2020-06-04 20:00:54,La Jolla,20,2020,6,Race,32.83754205617654,-117.2782590556444
56,23017300,2023-04-24 21:03:00,Mission Beach,21,2023,4,Sexual Orientation,32.77208952582818,-117.25264838248478
57,23001380,2023-01-10 04:20:00,Bay Park,4,2023,1,Religion,32.78933415863593,-117.20362799146496
58,23006405,2023-02-12 15:00:19,Rancho Penasquitos,15,2023,2,Race,32.95837066758091,-117.1273170808138
59,22021656,2022-05-18 19:22:02,Mira Mesa,19,2022,5,Race,32.92873975834423,-117.12929612185268
60,23022042,2023-05-11 21:00:00,Hillcrest,21,2023,5,Sexual Orientation,32.74518245240057,-117.16279376926482
61,21053854,2021-11-14 10:25:00,Ocean Beach,10,2021,11,Race,32.74228671329361,-117.2497939862475
62,21049305,2021-10-17 08:00:00,Corridor,8,2021,10,Sexual Orientation,32.751605935049234,-117.11561258666684
63,22043518,2022-10-07 07:50:00,Clairemont Mesa East,7,2022,10,Race,32.8308694978077,-117.17724181017776
64,22033872,2022-08-06 11:26:51,Park West,11,2022,8,Religion,32.726138363001525,-117.1639007033244
65,21048517,2021-10-12 13:10:10,Mission Valley East,13,2021,10,Sexual Orientation,32.76774743602916,-117.15555127615151
66,21016826,2021-04-06 18:00:00,Mission Bay Park,18,2021,4,Race,32.76349011265572,-117.2095992449505
67,23013659,2023-03-31 14:00:00,Teralta West,14,2023,3,Race,32.74966228968628,-117.106920632105
68,21010123,2021-02-28 12:50:00,Pacific Beach,12,2021,2,Race,32.79795627182967,-117.25591235128886
69,23013235,2023-03-28 17:15:23,East Village,17,2023,3,Race,32.71158294192483,-117.1502937597803
70,22019678,2022-04-30 20:30:58,Corridor,20,2022,4,Gender,32.753338489878814,-117.11585733418887
71,22041551,2022-09-25 19:19:19,Miramar Ranch North,19,2022,9,Religion,32.937380184896895,-117.10077759557964
72,23031954,2023-07-24 09:50:00,College East,9,2023,7,Religion,32.77076158433204,-117.06991397711823
73,23031954,2023-07-24 09:50:00,College East,9,2023,7,Religion,32.77076158433204,-117.06991397711823
74,21042757,2021-09-15 14:12:00,Old Town,14,2021,9,Race,32.755477215778484,-117.2010161824416
75,20029821,2020-06-11 08:00:17,San Ysidro,8,2020,6,Race,32.566194465269504,-117.0425661718196
76,22029024,2022-07-05 20:46:56,Fairmount Village,20,2022,7,Race,32.74405119854647,-117.09887051141928
77,21030261,2021-06-28 11:38:16,Core-Columbia,11,2021,6,Race,32.71363650879802,-117.15741832217697
